AveragePolicySurr,AverageQ,PolicyRegParamNorm,AverageReturn,AverageAbsY,StdReturn,AverageEsReturn,MinEsReturn,MaxReturn,AverageAction,MaxEsReturn,AverageDiscountedReturn,AverageAbsQ,Epoch,AverageY,MinReturn,AverageAbsQYDiff,QFunRegParamNorm,AverageQLoss,StdEsReturn
0.4003928925,-0.4054512226,11.0495162706,-90.3457373014,0.4055027949,31.958466131,-111.052896011,-167.394493866,-14.7096369479,0.4067739338,-52.0791334886,-64.5639345014,0.4054512226,67,-0.4055027949,-169.613263705,0.013815762,14.8785382785,0.0005981777,35.1827977193
0.4039117415,-0.4094313957,11.0657713275,-90.9846415106,0.4094374868,27.56713143,-97.5543249983,-131.270342834,-20.2988997507,0.3358083656,-72.5652366122,-64.0738239526,0.4094313957,68,-0.4094374868,-137.68700371,0.013460523,14.9328299084,0.0005470752,20.7109125117
0.4048695926,-0.4103175243,11.0766499791,-88.270230508,0.4103606149,28.661593502,-86.6837049549,-136.269059663,-1.470441979,0.3672918684,-37.5314383315,-62.8622829313,0.4103175243,69,-0.4103606149,-173.499269562,0.0143033087,14.9633743243,0.0006854555,36.4791630761
0.4078733431,-0.4130973918,11.0823817435,-90.3201198191,0.413073078,23.1541960186,-117.795026958,-148.997572937,-11.5852494399,0.3423819407,-84.8692186595,-63.7014405982,0.4130973918,70,-0.413073078,-166.529122077,0.013351528,15.013455517,0.0005610076,19.4751380055
0.4115045841,-0.416756954,11.0868839654,-85.3791382948,0.4167839251,23.1072019644,-115.582082161,-157.793048355,-23.3202609733,0.3949234672,-94.3784385955,-62.431274193,0.416756954,71,-0.4167839251,-139.63759441,0.0137534823,15.0602086391,0.0006207447,17.3957981195
0.4139692426,-0.419198268,11.0954758248,-93.3839813536,0.4192306938,23.1099937255,-106.210957615,-167.351587918,-22.9280020513,0.3393049993,-56.8198129357,-66.1036683479,0.419198268,72,-0.4192306938,-146.800991368,0.013359801,15.0932778652,0.0005814216,32.4165119548
0.4168282657,-0.4215945722,11.0955985869,-90.3645985783,0.4216164694,30.1791207846,-101.886502898,-222.611847531,-18.7200691004,0.2565453894,-24.0154080034,-64.3441658263,0.4215945722,73,-0.4216164694,-172.166249955,0.0134088096,15.1313637425,0.0005568765,51.2313610594
0.41902756,-0.4238938977,11.0939109492,-76.8198254096,0.4239315656,22.6213242596,-106.658461282,-166.966963537,-13.6706947842,0.2410004168,-67.6234674438,-57.6266905101,0.4238938977,74,-0.4239315656,-174.029922285,0.0133175697,15.1824639832,0.000583236,27.6815853698
0.4235635931,-0.4282765032,11.0987461225,-82.6569505512,0.4283058385,32.0439988287,-101.311488029,-146.699163177,-15.9511168135,0.242961324,-50.7807031191,-59.3454172994,0.4282765032,75,-0.4283058385,-167.429853933,0.0132763552,15.2246675798,0.0006015275,25.4213707118
0.426151414,-0.4309901438,11.103680867,-76.955067202,0.4310210828,32.7894527621,-112.215098555,-149.580679376,-13.1439956623,0.2829734484,-76.5267378801,-56.8773132511,0.4309901438,76,-0.4310210828,-170.095963248,0.0132991916,15.2672226418,0.0005675611,24.7216776703
0.4295689533,-0.4345510327,11.11392119,-92.2158172243,0.4345400888,24.613430344,-98.9084321607,-125.763090715,-19.7700326879,0.3057020969,-41.1061227503,-65.0149560489,0.4345510327,77,-0.4345400888,-144.771204789,0.0132565468,15.3033435388,0.0005832431,23.8612767502
0.4307496352,-0.4355373823,11.1208021649,-92.0100015839,0.4355316998,17.477380899,-78.0224762264,-141.038828374,-28.6139107758,0.2925125282,-25.1409386326,-64.6491621263,0.4355373823,78,-0.4355316998,-134.971975254,0.0136731645,15.3382621185,0.0006471093,28.5568218275
0.434090461,-0.4385829147,11.117945034,-96.9134425838,0.4386055525,28.3096076128,-91.1903067169,-151.409458044,-10.9671180728,0.2717654743,-56.868860745,-67.9537497015,0.4385829147,79,-0.4386055525,-157.899209565,0.012582851,15.3671955197,0.0005136109,30.6833651759
0.4362984409,-0.4406400533,11.1147829908,-93.2041905864,0.4406614597,31.9975919719,-109.068149411,-168.159160127,-11.0457358392,0.220346231,-23.8570602529,-65.7222972993,0.4406400533,80,-0.4406614597,-141.71058091,0.013172515,15.3881635788,0.0006102561,35.788086574
0.4391732286,-0.4434997229,11.1210409792,-104.83370727,0.4435119859,39.5596957378,-105.856178245,-170.762804204,-18.5656487558,0.2338059165,-33.896735197,-71.4940609531,0.4434997229,81,-0.4435119859,-154.670622783,0.0128996594,15.4400612204,0.0005909719,39.1655477628
0.441889852,-0.4460171275,11.1333102796,-81.2782005338,0.4460253287,27.5565811044,-94.4376877234,-155.054066452,-12.9044136355,0.2295677922,-37.7893619379,-59.6384723869,0.4460171275,82,-0.4460253287,-156.752489389,0.0125234167,15.5068216201,0.0005473188,34.8633043949
0.4451667072,-0.4492539181,11.1431205631,-94.1299902394,0.449293557,22.2256115398,-106.427268839,-152.532929128,-14.6739000391,0.2736952996,-45.1867294015,-66.2777274549,0.4492539181,83,-0.449293557,-147.842555165,0.0129174205,15.5335691382,0.0005758993,35.8895308724
0.4480740489,-0.452514946,11.1613078417,-97.1904201155,0.452524526,24.6637445007,-106.206129524,-174.204901164,-5.8972711944,0.3085223396,-30.1204302953,-67.0409076123,0.452514946,84,-0.452524526,-145.872836133,0.013045901,15.6050397234,0.0006038919,39.2612237756
0.4514258136,-0.4557766818,11.1705028023,-94.0132122119,0.4558060433,33.3644907058,-102.31380775,-150.211595079,-13.4385032639,0.239961649,-60.1277327999,-66.0274135354,0.4557766818,85,-0.4558060433,-145.908825392,0.0126824863,15.6456835244,0.0005403699,28.6883965186
0.4519779186,-0.4565072368,11.1885757098,-96.4333078079,0.456537594,28.5243795041,-97.7423062298,-139.115235761,-14.4762801743,0.2646396021,-30.6208463951,-67.6925854083,0.4565072368,86,-0.456537594,-166.758160033,0.0127184036,15.695563737,0.0005670044,35.5698379673
0.4555223064,-0.4596404845,11.1857488717,-88.5258339926,0.4596264533,32.2400858658,-105.404599484,-137.899088904,-8.2543259893,0.2146713677,-42.0483393912,-63.3602363524,0.4596404845,87,-0.4596264533,-138.532121284,0.0128549644,15.7634313593,0.000585095,24.9468468868
0.45693853,-0.460968787,11.1810028848,-87.5172719021,0.4610099849,34.6176614216,-86.0336967675,-146.597747544,-7.4699648328,0.202741084,-36.7386445743,-62.3816124813,0.460968787,88,-0.4610099849,-148.120886655,0.0128343019,15.7921400379,0.0006123823,29.7740759046
0.4610561182,-0.4649699139,11.1855232197,-87.1228552355,0.4649957027,27.1788428113,-98.8881373618,-143.135799479,-17.855024335,0.2689445301,-34.6783376831,-62.9046710106,0.4649699139,89,-0.4649957027,-158.145852023,0.0130527447,15.8239567112,0.0006093525,34.3529577174
0.4617643855,-0.4661389407,11.1778848423,-84.8677981905,0.4661584679,32.7933758372,-87.6974314054,-125.911790155,-12.2251199812,0.184466847,-57.7653417866,-61.1374942133,0.4661389407,90,-0.4661584679,-174.796337281,0.0132410913,15.8734172851,0.0006839805,21.8025599276
0.4654183009,-0.4694534795,11.1657498073,-91.9117851248,0.4694370008,29.3279322144,-108.295199293,-182.46100936,-13.5953457199,0.2484982769,-47.2436391454,-64.5278005067,0.4694534795,91,-0.4694370008,-147.927281207,0.0132849731,15.9084983006,0.0006703894,39.0086580883
